incident_rate_per_100k,city,season,year
6699.925785437454,South Salt Lake,Spring,2013
6137.712381107227,South Salt Lake,Spring,2014
6276.933083990569,South Salt Lake,Spring,2015
6109.7813298713945,South Salt Lake,Spring,2016
5329.815303430079,South Salt Lake,Spring,2017
6069.711538461538,South Salt Lake,Spring,2018
11330.279121065581,South Salt Lake,Summer,2010
8899.635191312464,South Salt Lake,Summer,2011
8022.598870056497,South Salt Lake,Summer,2012
7644.099942277563,South Salt Lake,Summer,2013
6235.265425575157,South Salt Lake,Summer,2014
7179.445483372632,South Salt Lake,Summer,2015
6483.0216235952785,South Salt Lake,Summer,2016
5520.600771260402,South Salt Lake,Summer,2017
6258.01282051282,South Salt Lake,Summer,2018
9497.751760414016,South Salt Lake,Winter,2010
8165.775854755239,South Salt Lake,Winter,2011
6838.25068005859,South Salt Lake,Winter,2012
6085.5941288034965,South Salt Lake,Winter,2013
5792.21201528331,South Salt Lake,Winter,2014
6073.664525571185,South Salt Lake,Winter,2015
6263.945799018215,South Salt Lake,Winter,2016
6052.364522021514,South Salt Lake,Winter,2017
5316.50641025641,South Salt Lake,Winter,2018
3.9566352773601325,South Salt Lake,Winter,2019
8527.705307425724,Syracuse,Fall,2014
18.840197445269226,Syracuse,Fall,2015
2933.832709113608,Syracuse,Fall,2016
1522.878594701799,Syracuse,Fall,2017
468.9092762487258,Syracuse,Fall,2018
8.204455019075358,Syracuse,Spring,2010
8.157272208173588,Syracuse,Spring,2011
8.049261480259187,Syracuse,Spring,2012
2943.810599275729,Syracuse,Spring,2014
8591.130035042766,Syracuse,Spring,2015
943.6733494896085,Syracuse,Spring,2016
92.08103130755065,Syracuse,Spring,2017
733.9449541284404,Syracuse,Spring,2018
3.2946758039008963,Syracuse,Spring,2019
8.157272208173588,Syracuse,Summer,2011
7912.4644678945515,Syracuse,Summer,2014
26.376276423376915,Syracuse,Summer,2015
2577.6602775941838,Syracuse,Summer,2016
3.5415781272134863,Syracuse,Summer,2017
2154.2643560992183,Syracuse,Summer,2018
16.408910038150715,Syracuse,Winter,2010
4193.7619251586775,Syracuse,Winter,2014
6496.100079128829,Syracuse,Winter,2015
18.35940368656826,Syracuse,Winter,2016
1919.5353449497097,Syracuse,Winter,2017
2562.011552837241,Syracuse,Winter,2018
935.6879283078546,Syracuse,Winter,2019
227.82647217036356,Tooele,Fall,2010
731.1922846607205,Tooele,Fall,2011
4743.021295197652,Tooele,Fall,2012
74.83162883512097,Tooele,Fall,2013
151.68869764418164,Tooele,Fall,2014
2528.063970475165,Tooele,Fall,2015
660.3659275415,Tooele,Fall,2016
278.45457709711104,Tooele,Spring,2010
195.40483469381323,Tooele,Spring,2011
4658.714794229688,Tooele,Spring,2012
190.19705662259915,Tooele,Spring,2013
157.8800730582299,Tooele,Spring,2014
2860.218360756574,Tooele,Spring,2015
3332.12165273234,Tooele,Spring,2016
291.1116033287979,Tooele,Summer,2010
214.31497998676292,Tooele,Summer,2011
5098.982077062386,Tooele,Summer,2012
130.95535046146173,Tooele,Summer,2013
160.97576076525402,Tooele,Summer,2014
3167.768722128249,Tooele,Summer,2015
3253.3624136677568,Tooele,Summer,2016
246.81201151789386,Tooele,Winter,2010
1601.0589681364052,Tooele,Winter,2011
4140.385936426654,Tooele,Winter,2012
1272.1376901970566,Tooele,Winter,2013
910.1321858650899,Tooele,Winter,2014
2380.4397970167615,Tooele,Winter,2015
1469.1627287047136,Tooele,Winter,2016
24203.952083546636,Woods Cross,Fall,2010
21835.92558706923,Woods Cross,Fall,2011
32201.23323871978,Woods Cross,Fall,2013
24599.627560521414,Woods Cross,Fall,2014
22649.34127413824,Woods Cross,Fall,2015
24528.97262708852,Woods Cross,Fall,2016
22156.24040135149,Woods Cross,Spring,2010
25922.537358950896,Woods Cross,Spring,2011
19506.393101397563,Woods Cross,Spring,2012
29186.64970147793,Woods Cross,Spring,2013
28230.91247672253,Woods Cross,Spring,2014
27973.29001985201,Woods Cross,Spring,2015
25684.322787060075,Woods Cross,Spring,2016
22082.96557811121,Woods Cross,Spring,2017
28319.85256475888,Woods Cross,Summer,2010
31757.64968994612,Woods Cross,Summer,2011
27972.986199471467,Woods Cross,Summer,2013
22849.162011173186,Woods Cross,Summer,2014
26493.41274138242,Woods Cross,Summer,2015
24209.029505865623,Woods Cross,Summer,2016
20229.479258605472,Woods Cross,Summer,2017
22442.92003685881,Woods Cross,Winter,2010
23909.7285757853,Woods Cross,Winter,2011
17603.3303597978,Woods Cross,Winter,2012
22863.85436037976,Woods Cross,Winter,2013
25381.750465549347,Woods Cross,Winter,2014
23443.421765024363,Woods Cross,Winter,2015
23764.664059722716,Woods Cross,Winter,2016
17493.380406001765,Woods Cross,Winter,2017
