column 1,address_1,case_number,city,clearance_type,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
7949,3100 Block W 1500 N,C2025180,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,8,04/03/2019 08:38:51 AM,Vehicle Burglary,912778264,CAD: Vehicle Burglary,41.1359467,"{'type': 'Point', 'coordinates': [-112.0891848, 41.1359467]}",-112.0891848,Theft from Vehicle,UT,04/08/2019 08:42:51 AM,84015.0
7950,2500 Block W 1800 N,C2025193,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,9,04/03/2019 09:33:19 AM,Traffic Stop,912778266,CAD: Traffic Stop,41.139871,"{'type': 'Point', 'coordinates': [-112.0742466, 41.139871]}",-112.0742466,Vehicle Stop,UT,04/08/2019 08:42:52 AM,84015.0
7951,2200 Block N 1500 W,C2025221,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,11,04/03/2019 11:30:49 AM,Found Property,912778281,CAD: Found Property,41.1456692,"{'type': 'Point', 'coordinates': [-112.0548029, 41.1456692]}",-112.0548029,Other,UT,04/08/2019 08:42:52 AM,84015.0
7952,1800 Block N 2000 W,C2025272,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,14,04/03/2019 02:49:07 PM,Traffic Stop,912778280,CAD: Traffic Stop,41.1400021,"{'type': 'Point', 'coordinates': [-112.0643681, 41.1400021]}",-112.0643681,Vehicle Stop,UT,04/08/2019 08:42:52 AM,84015.0
7953,2100 Block N 950 W,C2025296,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,16,04/03/2019 04:31:44 PM,Unwanted Guest,912778278,CAD: Unwanted Guest,41.1442639,"{'type': 'Point', 'coordinates': [-112.0441937, 41.1442639]}",-112.0441937,Disorder,UT,04/08/2019 08:42:52 AM,84015.0
7954,2700 Block W 2025 N,C2025316,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,17,04/03/2019 05:31:29 PM,Vehicle Burglary,912778276,CAD: Vehicle Burglary,41.1431116,"{'type': 'Point', 'coordinates': [-112.0781704, 41.1431116]}",-112.0781704,Theft from Vehicle,UT,04/08/2019 08:42:52 AM,84015.0
7955,1800 Block W 1300 N,C2025342,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,18,04/03/2019 06:09:56 PM,Traffic Enforcement,912778274,CAD: Traffic Enforcement,41.1326328,"{'type': 'Point', 'coordinates': [-112.0607766, 41.1326328]}",-112.0607766,Traffic,UT,04/08/2019 08:42:52 AM,84015.0
7956,1700 Block N 1000 W,C2025352,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,18,04/03/2019 06:31:32 PM,Traffic Enforcement,912778271,CAD: Traffic Enforcement,41.1380892,"{'type': 'Point', 'coordinates': [-112.0452622, 41.1380892]}",-112.0452622,Traffic,UT,04/08/2019 08:42:53 AM,84015.0
7957,1800 Block N 1200 W,C2025354,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,18,04/03/2019 06:36:38 PM,Traffic Stop,912778273,CAD: Traffic Stop,41.1398912,"{'type': 'Point', 'coordinates': [-112.0490003, 41.1398912]}",-112.0490003,Vehicle Stop,UT,04/08/2019 08:42:53 AM,84015.0
7958,1300 Block N 1000 W,C2025364,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,19,04/03/2019 07:07:29 PM,Traffic Stop,912778272,CAD: Traffic Stop,41.1327384,"{'type': 'Point', 'coordinates': [-112.0451833, 41.1327384]}",-112.0451833,Vehicle Stop,UT,04/08/2019 08:42:53 AM,84015.0
7959,2300 Block N 2350 W,C2025409,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,21,04/03/2019 09:18:49 PM,Warrant Service,912778270,CAD: Warrant Service,41.1481991,"{'type': 'Point', 'coordinates': [-112.0713194, 41.1481991]}",-112.0713194,Other,UT,04/08/2019 08:42:53 AM,84015.0
7960,2100 Block N 950 W,C2025418,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,21,04/03/2019 09:54:04 PM,Criminal Trespass,912778268,CAD: Criminal Trespass,41.1442639,"{'type': 'Point', 'coordinates': [-112.0441937, 41.1442639]}",-112.0441937,Property Crime,UT,04/08/2019 08:42:53 AM,84015.0
7961,500 Block W 2300 N,C2025475,CLINTON,,04/05/2019 08:59:57 AM,Thursday,1,04/04/2019 01:32:47 AM,Extra Patrol On Site Call,912896987,CAD: Extra Patrol On Site Call,41.1471571,"{'type': 'Point', 'coordinates': [-112.0365146, 41.1471571]}",-112.0365146,Community Policing,UT,04/08/2019 08:42:54 AM,84015.0
7962,2300 Block N 2000 W,C2025478,CLINTON,,04/05/2019 08:59:57 AM,Thursday,1,04/04/2019 01:57:24 AM,Traffic Stop,912896986,CAD: Traffic Stop,41.1471595,"{'type': 'Point', 'coordinates': [-112.0644759, 41.1471595]}",-112.0644759,Vehicle Stop,UT,04/08/2019 08:42:54 AM,84015.0
7963,900 Block W 1300 N,C2025483,CLINTON,,04/05/2019 08:59:57 AM,Thursday,2,04/04/2019 02:24:32 AM,Traffic Stop,912896985,CAD: Traffic Stop,41.1328465,"{'type': 'Point', 'coordinates': [-112.0431361, 41.1328465]}",-112.0431361,Vehicle Stop,UT,04/08/2019 08:42:54 AM,84015.0
7964,1700 Block W 800 N,C2025500,CLINTON,,04/05/2019 08:59:57 AM,Thursday,4,04/04/2019 04:00:24 AM,Traffic Stop,912896982,CAD: Traffic Stop,41.1253536,"{'type': 'Point', 'coordinates': [-112.0591741, 41.1253536]}",-112.0591741,Vehicle Stop,UT,04/08/2019 08:42:54 AM,84015.0
7965,1900 Block N 550 W,C2025509,CLINTON,,04/05/2019 08:59:57 AM,Thursday,5,04/04/2019 05:00:36 AM,Residential Alarm,912896979,CAD: Residential Alarm,41.1412525,"{'type': 'Point', 'coordinates': [-112.0361576, 41.1412525]}",-112.0361576,Alarm,UT,04/08/2019 08:42:54 AM,84015.0
7966,500 Block W 1950 N,C2025510,CLINTON,,04/05/2019 08:59:57 AM,Thursday,5,04/04/2019 05:14:04 AM,Radar Enforcement,912896978,CAD: Radar Enforcement,41.1417632,"{'type': 'Point', 'coordinates': [-112.0363999, 41.1417632]}",-112.0363999,Traffic,UT,04/08/2019 08:42:55 AM,84015.0
7967,2100 Block N 950 W,C2025527,CLINTON,,04/05/2019 08:59:57 AM,Thursday,6,04/04/2019 06:56:32 AM,Welfare Check,912896976,CAD: Welfare Check,41.1442639,"{'type': 'Point', 'coordinates': [-112.0441937, 41.1442639]}",-112.0441937,Other,UT,04/08/2019 08:42:55 AM,84015.0
7968,1900 Block N 2000 W,C2025556,CLINTON,,04/05/2019 08:59:57 AM,Thursday,8,04/04/2019 08:25:21 AM,Business Alarm,912896977,CAD: Business Alarm,41.141532,"{'type': 'Point', 'coordinates': [-112.0638863, 41.141532]}",-112.0638863,Alarm,UT,04/08/2019 08:42:55 AM,84015.0
7969,1800 Block N 2000 W,C2025564,CLINTON,,04/05/2019 08:59:57 AM,Thursday,8,04/04/2019 08:52:22 AM,Accident Hit & Run,912896974,CAD: Accident Hit & Run,41.1400021,"{'type': 'Point', 'coordinates': [-112.0643681, 41.1400021]}",-112.0643681,Traffic,UT,04/08/2019 08:42:55 AM,84015.0
7970,500 Block N 1360 W,C2025571,CLINTON,,04/05/2019 08:59:57 AM,Thursday,8,04/04/2019 08:59:02 AM,Welfare Check,912896975,CAD: Welfare Check,41.12206279999999,"{'type': 'Point', 'coordinates': [-112.0523671, 41.12206279999999]}",-112.0523671,Other,UT,04/08/2019 08:42:55 AM,84015.0
7971,1800 Block N 1000 W,C2025590,CLINTON,,04/05/2019 08:59:57 AM,Thursday,10,04/04/2019 10:49:41 AM,Extra Patrol REQUEST,912896973,CAD: Extra Patrol REQUEST,41.1398865,"{'type': 'Point', 'coordinates': [-112.0452881, 41.1398865]}",-112.0452881,Community Policing,UT,04/08/2019 08:42:55 AM,84015.0
7972,2100 Block N 950 W,C2025599,CLINTON,,04/05/2019 08:59:57 AM,Thursday,11,04/04/2019 11:34:29 AM,Agency Assistance,912897008,CAD: Agency Assistance,41.1442639,"{'type': 'Point', 'coordinates': [-112.0441937, 41.1442639]}",-112.0441937,Other,UT,04/08/2019 08:42:55 AM,84015.0
7973,2200 Block N 1500 W,C2025602,CLINTON,,04/05/2019 08:59:57 AM,Thursday,11,04/04/2019 11:36:21 AM,Fraud Activities,912897010,CAD: Fraud Activities,41.1456692,"{'type': 'Point', 'coordinates': [-112.0548029, 41.1456692]}",-112.0548029,Theft,UT,04/08/2019 08:42:55 AM,84015.0
7974,2200 Block N 1500 W,C2025603,CLINTON,,04/05/2019 08:59:57 AM,Thursday,11,04/04/2019 11:36:54 AM,Fraud Activities,912897009,CAD: Fraud Activities,41.1456692,"{'type': 'Point', 'coordinates': [-112.0548029, 41.1456692]}",-112.0548029,Theft,UT,04/08/2019 08:42:55 AM,84015.0
